Quarter,Year,Cluster_Month,target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Ativos Biológicos AC,Tributos a Recuperar AC,Despesas Antecipadas AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo ,Aplicações Financeiras Avaliadas a Valor Justo ACLP,Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,Contas a Receber ACLP,Estoques ACLP,Ativos Biológicos ACLP,Tributos Diferidos ACLP,Despesas Antecipadas ACLP,Créditos com Partes Relacionadas ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Passivos com Partes Relacionadas PC,Dividendos e JCP a Pagar PC,Outros PC,Provisões PC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Passivos com Partes Relacionadas PNC,Outros PNC,Tributos Diferidos PNC,Adiantamento para Futuro Aumento Capital PNC,Provisões PNC,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,Lucros e Receitas a Apropriar PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
3Q2011,2011,9,Good,13.800000190734863,10.0,10.850000381469727,11.25,16308554.666666666,11.029959678649902,1011133.0,751699.0,153718.0,16444.0,154208.0,361375.0,0.0,61921.0,4033.0,0.0,33659.0,0.0,0.0,607.0,0.0,0.0,0.0,95.0,0.0,32957.0,0.0,167370.0,58405.0,0.0,1011133.0,316231.0,45319.0,180860.0,22962.0,25815.0,0.0,14701.0,23954.0,2620.0,0.0,60871.0,52865.0,0.0,2944.0,4206.0,0.0,856.0,0.0,0.0,0.0,634031.0,285400.0,100555.0,13375.0,189565.0,45136.0,0.0,0.0,0.0,0.0
4Q2011,2011,12,Good,14.020000457763672,10.399999618530273,11.140000343322754,12.970000267028809,15355833.333333334,11.158820470174154,3168308.0,1625795.0,339971.0,0.0,367183.0,814975.0,0.0,93160.0,10506.0,0.0,44063.0,0.0,0.0,608.0,0.0,0.0,0.0,136.0,0.0,43319.0,0.0,370605.0,1127845.0,0.0,3168308.0,791232.0,92460.0,536399.0,30035.0,50325.0,0.0,3662.0,69273.0,9078.0,0.0,175902.0,111985.0,0.0,8930.0,51715.0,0.0,3272.0,0.0,0.0,0.0,2201174.0,908639.0,1039935.0,13325.0,239275.0,0.0,0.0,0.0,0.0,0.0
1Q2012,2012,3,Good,17.899999618530273,13.0,13.100000381469727,17.75,19474733.333333332,15.024676322937012,3121129.0,1558229.0,169441.0,0.0,377954.0,910613.0,0.0,85585.0,14636.0,0.0,55104.0,0.0,0.0,607.0,0.0,0.0,0.0,339.0,0.0,54158.0,0.0,376808.0,1130988.0,0.0,3121129.0,737440.0,85344.0,495722.0,35257.0,51678.0,0.0,9720.0,50651.0,9068.0,0.0,170129.0,104983.0,0.0,8501.0,52673.0,0.0,3972.0,0.0,0.0,0.0,2213560.0,908639.0,1039935.0,13275.0,239275.0,12436.0,0.0,0.0,0.0,0.0
2Q2012,2012,6,Bad,21.420000076293945,17.5,17.790000915527344,20.25,31357500.0,18.428858439127605,3108413.0,1546091.0,124927.0,0.0,414134.0,900762.0,0.0,91496.0,14772.0,0.0,36473.0,0.0,0.0,610.0,0.0,0.0,0.0,426.0,0.0,35437.0,0.0,397236.0,1128613.0,0.0,3108413.0,708320.0,105472.0,409832.0,49165.0,64443.0,0.0,22599.0,46832.0,9977.0,0.0,165307.0,99583.0,0.0,7965.0,53174.0,0.0,4585.0,0.0,0.0,0.0,2234786.0,908639.0,1039935.0,13224.0,229537.0,43451.0,0.0,0.0,0.0,0.0
3Q2012,2012,9,Bad,24.0,19.68000030517578,20.209999084472656,23.290000915527344,20308666.666666668,21.232171376546223,3186097.0,1558119.0,218404.0,0.0,436728.0,829405.0,0.0,62110.0,11472.0,0.0,78126.0,0.0,0.0,610.0,0.0,0.0,0.0,594.0,0.0,76922.0,0.0,422083.0,1127769.0,0.0,3186097.0,780022.0,120587.0,466636.0,40998.0,61011.0,0.0,35051.0,43859.0,11880.0,0.0,151060.0,87962.0,0.0,7487.0,51488.0,0.0,4123.0,0.0,0.0,0.0,2255015.0,908639.0,1039935.0,13174.0,229536.0,63731.0,0.0,0.0,0.0,0.0
4Q2012,2012,12,Bad,24.459999084472656,20.299999237060547,23.200000762939453,23.06999969482422,18255500.0,20.691126505533855,3340186.0,1693864.0,166963.0,0.0,452543.0,973396.0,0.0,96316.0,4731.0,-85.0,21802.0,0.0,0.0,610.0,0.0,0.0,0.0,561.0,0.0,20631.0,0.0,454322.0,1170198.0,0.0,3340186.0,863276.0,92899.0,575587.0,40489.0,60712.0,0.0,5451.0,74017.0,14121.0,0.0,212251.0,131460.0,0.0,7049.0,64021.0,0.0,9721.0,0.0,0.0,0.0,2264659.0,908639.0,1039935.0,13127.0,302958.0,0.0,0.0,0.0,0.0,0.0
1Q2013,2013,3,Bad,24.100000381469727,20.739999771118164,23.06999969482422,21.299999237060547,22647266.666666668,20.67555046081543,3243082.0,1581484.0,127007.0,0.0,452061.0,907468.0,0.0,82370.0,12578.0,0.0,22151.0,0.0,0.0,610.0,0.0,0.0,0.0,529.0,0.0,21012.0,0.0,475099.0,1164348.0,0.0,3243082.0,740178.0,93266.0,456464.0,36772.0,61551.0,0.0,8378.0,71466.0,12281.0,0.0,227366.0,140386.0,0.0,6673.0,70542.0,0.0,9765.0,0.0,0.0,0.0,2275538.0,908639.0,1039935.0,13057.0,302958.0,10949.0,0.0,0.0,0.0,0.0
2Q2013,2013,6,Bad,24.59000015258789,19.59000015258789,21.690000534057617,21.5,20764500.0,20.629594802856445,3316119.0,1637130.0,73557.0,0.0,474313.0,1008445.0,0.0,67939.0,12876.0,0.0,21234.0,0.0,0.0,355.0,0.0,0.0,0.0,513.0,0.0,20366.0,0.0,499337.0,1158418.0,0.0,3316119.0,807105.0,111195.0,489390.0,45408.0,71246.0,0.0,17317.0,62727.0,9822.0,0.0,217265.0,121620.0,0.0,6407.0,80302.0,0.0,8936.0,0.0,0.0,0.0,2291749.0,908639.0,1039935.0,13034.0,294721.0,35420.0,0.0,0.0,0.0,0.0
3Q2013,2013,9,Good,22.06999969482422,16.09000015258789,21.75,18.329999923706055,31410500.0,17.023866017659504,3298645.0,1601939.0,122367.0,0.0,461013.0,948534.0,0.0,58136.0,11889.0,0.0,22193.0,0.0,0.0,355.0,0.0,0.0,0.0,360.0,0.0,21478.0,0.0,518411.0,1156102.0,0.0,3298645.0,790638.0,139259.0,445899.0,39721.0,79878.0,0.0,22049.0,53334.0,10498.0,0.0,203140.0,103933.0,0.0,2868.0,87876.0,0.0,8463.0,0.0,0.0,0.0,2304867.0,908639.0,1039935.0,12988.0,294721.0,48584.0,0.0,0.0,0.0,0.0
4Q2013,2013,12,Good,18.25,14.569999694824219,18.219999313354492,14.779999732971191,20404800.0,15.029813766479492,3614093.0,1903575.0,241885.0,0.0,482212.0,1132620.0,0.0,38658.0,8200.0,0.0,23350.0,0.0,0.0,355.0,0.0,0.0,0.0,373.0,0.0,22622.0,0.0,536629.0,1150539.0,0.0,3614093.0,1020004.0,116352.0,671455.0,65920.0,83944.0,0.0,9464.0,59133.0,13736.0,0.0,267106.0,160881.0,0.0,4224.0,93980.0,0.0,8021.0,0.0,0.0,0.0,2326983.0,908639.0,1039935.0,12941.0,365468.0,0.0,0.0,0.0,0.0,0.0
1Q2014,2014,3,Good,19.780000686645508,13.699999809265137,14.779999732971191,19.6299991607666,32441266.666666668,15.888996442159018,3533231.0,1813989.0,139143.0,0.0,507101.0,1116980.0,0.0,34191.0,16574.0,0.0,24416.0,0.0,0.0,341.0,0.0,0.0,0.0,531.0,0.0,23544.0,0.0,554050.0,1140776.0,0.0,3533231.0,908480.0,127748.0,548706.0,52801.0,97601.0,0.0,15725.0,53443.0,12456.0,0.0,276367.0,162301.0,0.0,4015.0,100525.0,0.0,9526.0,0.0,0.0,0.0,2348384.0,908639.0,1039935.0,12895.0,365468.0,21447.0,0.0,0.0,0.0,0.0
2Q2014,2014,6,Good,20.15999984741211,17.860000610351562,19.59000015258789,18.239999771118164,19609533.333333332,17.65174102783203,3639198.0,1893565.0,143508.0,0.0,535274.0,1171545.0,0.0,28927.0,14311.0,0.0,26878.0,0.0,0.0,366.0,0.0,0.0,0.0,603.0,0.0,25909.0,0.0,582759.0,1135996.0,0.0,3639198.0,1012151.0,152789.0,623887.0,40512.0,99838.0,0.0,25530.0,56910.0,12685.0,0.0,266872.0,144936.0,0.0,3803.0,108207.0,0.0,9926.0,0.0,0.0,0.0,2360175.0,908639.0,1019037.0,12848.0,357170.0,62481.0,0.0,0.0,0.0,0.0
3Q2014,2014,9,Good,23.219999313354492,18.079999923706055,18.34000015258789,20.940000534057617,18785733.333333332,19.465461095174152,3798948.0,2030079.0,149768.0,0.0,566924.0,1264465.0,0.0,38060.0,10862.0,0.0,29109.0,0.0,0.0,366.0,0.0,0.0,0.0,509.0,0.0,28234.0,0.0,609690.0,1130070.0,0.0,3798948.0,1142154.0,173499.0,704648.0,38350.0,98756.0,0.0,44429.0,69439.0,13033.0,0.0,250639.0,123243.0,0.0,3294.0,115159.0,0.0,8943.0,0.0,0.0,0.0,2406155.0,908639.0,1019037.0,12802.0,357170.0,108507.0,0.0,0.0,0.0,0.0
4Q2014,2014,12,Good,25.8799991607666,20.020000457763672,21.020000457763672,25.350000381469727,37560081.0,22.838008880615234,4049289.0,2243931.0,281189.0,0.0,573580.0,1340199.0,0.0,39042.0,9921.0,0.0,32664.0,0.0,0.0,366.0,0.0,0.0,0.0,852.0,0.0,31446.0,0.0,647673.0,1125021.0,0.0,4049289.0,1275050.0,141548.0,871477.0,42230.0,97710.0,0.0,28664.0,78276.0,15145.0,0.0,317302.0,183527.0,0.0,3726.0,125946.0,0.0,4103.0,0.0,0.0,0.0,2456937.0,908639.0,1019791.0,12755.0,515752.0,0.0,0.0,0.0,0.0,0.0
1Q2015,2015,3,Good,29.209999084472656,24.190000534057617,25.350000381469727,28.639999389648438,18891300.0,26.33310890197754,4156851.0,2333121.0,230865.0,0.0,584137.0,1442362.0,0.0,58603.0,17154.0,0.0,39514.0,0.0,0.0,366.0,0.0,0.0,0.0,787.0,0.0,38361.0,0.0,665018.0,1119198.0,0.0,4156851.0,1349946.0,141669.0,924267.0,44522.0,90584.0,0.0,55948.0,76638.0,16318.0,0.0,311483.0,164439.0,0.0,3298.0,140038.0,0.0,3708.0,0.0,0.0,0.0,2495422.0,908639.0,1020249.0,12709.0,515752.0,38073.0,0.0,0.0,0.0,0.0
2Q2015,2015,6,Good,40.54999923706055,28.5,28.81999969482422,36.150001525878906,28248900.0,33.78851445515951,4135822.0,2285218.0,210927.0,0.0,633747.0,1377391.0,0.0,47968.0,15185.0,0.0,36952.0,0.0,0.0,352.0,0.0,0.0,0.0,688.0,0.0,35912.0,0.0,691288.0,1122364.0,0.0,4135822.0,1286892.0,176233.0,819700.0,39729.0,95714.0,0.0,58944.0,76474.0,20098.0,0.0,320129.0,168198.0,0.0,3563.0,144710.0,0.0,3658.0,0.0,0.0,0.0,2528801.0,908639.0,1021170.0,12662.0,475421.0,110909.0,0.0,0.0,0.0,0.0
3Q2015,2015,9,Good,44.439998626708984,36.599998474121094,40.11000061035156,38.54999923706055,42995500.0,39.4608154296875,4355143.0,2464770.0,268789.0,0.0,658402.0,1463731.0,0.0,60745.0,13103.0,0.0,40063.0,0.0,0.0,353.0,0.0,0.0,0.0,1403.0,0.0,38307.0,0.0,727528.0,1122782.0,0.0,4355143.0,1461455.0,194860.0,939642.0,47088.0,94375.0,0.0,92825.0,76290.0,16375.0,0.0,318885.0,160749.0,0.0,4280.0,149314.0,0.0,4542.0,0.0,0.0,0.0,2574803.0,908639.0,1022266.0,12616.0,475421.0,155861.0,0.0,0.0,0.0,0.0
4Q2015,2015,12,Good,44.18000030517578,34.25,39.11000061035156,35.47999954223633,34974100.0,37.5417111714681,4699201.0,2685844.0,266051.0,0.0,700092.0,1650453.0,0.0,59530.0,9718.0,0.0,44499.0,0.0,0.0,584.0,0.0,0.0,0.0,2029.0,0.0,41886.0,0.0,801985.0,1166873.0,0.0,4699201.0,1648766.0,165409.0,1203382.0,55878.0,108192.0,0.0,24402.0,77589.0,13914.0,0.0,393637.0,188196.0,31632.0,4476.0,165981.0,0.0,3352.0,0.0,0.0,22989.0,2633809.0,1808639.0,128767.0,12569.0,714064.0,0.0,-30230.0,0.0,0.0,0.0
1Q2016,2016,3,Good,53.77000045776367,34.790000915527344,35.47999954223633,52.18000030517578,34789333.333333336,44.983673095703125,4775378.0,2721675.0,106770.0,0.0,740403.0,1775777.0,0.0,79305.0,19420.0,0.0,49381.0,0.0,0.0,346.0,0.0,0.0,0.0,1943.0,0.0,47092.0,0.0,835302.0,1169020.0,0.0,4775378.0,1720911.0,164596.0,1157077.0,79309.0,108676.0,0.0,113695.0,83527.0,14031.0,0.0,398987.0,185015.0,33099.0,2682.0,175071.0,0.0,3120.0,0.0,0.0,23119.0,2632361.0,1808639.0,133262.0,12523.0,665820.0,42347.0,-30230.0,0.0,0.0,0.0
2Q2016,2016,6,Good,63.47999954223633,50.16999816894531,52.849998474121094,63.13999938964844,16984000.0,56.8176155090332,4861771.0,2759072.0,56496.0,0.0,819971.0,1777079.0,0.0,84578.0,20948.0,0.0,52179.0,0.0,0.0,335.0,0.0,0.0,0.0,3154.0,0.0,48690.0,0.0,888662.0,1161858.0,0.0,4861771.0,1667074.0,209616.0,1079108.0,73495.0,111742.0,0.0,83318.0,93069.0,16726.0,0.0,426934.0,211395.0,34633.0,2749.0,173228.0,0.0,4929.0,0.0,0.0,24905.0,2742858.0,1808639.0,136223.0,12476.0,665820.0,149930.0,-30230.0,0.0,0.0,0.0
3Q2016,2016,9,Good,69.7300033569336,57.720001220703125,63.11000061035156,66.27999877929688,22271466.666666668,62.23986307779948,5319851.0,3156067.0,255827.0,0.0,823566.0,1944365.0,0.0,115348.0,16961.0,0.0,45173.0,0.0,0.0,335.0,0.0,0.0,0.0,3701.0,0.0,41137.0,0.0,950190.0,1168421.0,0.0,5319851.0,2011120.0,239457.0,1325003.0,89001.0,117787.0,0.0,125707.0,95509.0,18656.0,0.0,470315.0,242297.0,36239.0,2722.0,186336.0,0.0,2721.0,0.0,0.0,25944.0,2812472.0,1808639.0,139192.0,12429.0,665821.0,216621.0,-30230.0,0.0,0.0,0.0
4Q2016,2016,12,Good,71.23999786376953,57.70000076293945,65.7300033569336,61.189998626708984,22248466.666666668,63.77466837565104,5659303.0,3427783.0,276632.0,0.0,877353.0,2149468.0,0.0,111772.0,12558.0,0.0,50858.0,0.0,0.0,334.0,0.0,0.0,0.0,4553.0,0.0,45971.0,0.0,1006606.0,1174056.0,0.0,5659303.0,2184684.0,199378.0,1615587.0,96731.0,132581.0,0.0,25934.0,92970.0,21503.0,0.0,538664.0,281387.0,45228.0,16271.0,193187.0,0.0,2591.0,0.0,0.0,26168.0,2909787.0,1808639.0,138553.0,12383.0,980442.0,0.0,-30230.0,0.0,0.0,0.0
1Q2017,2017,3,Good,66.75,56.220001220703125,60.619998931884766,58.66999816894531,27423166.666666668,59.72182973225912,5731590.0,3447419.0,181601.0,0.0,920630.0,2221116.0,0.0,95620.0,28452.0,0.0,55146.0,0.0,0.0,334.0,0.0,0.0,0.0,5435.0,0.0,49377.0,0.0,1049967.0,1179058.0,0.0,5731590.0,2229284.0,193325.0,1483477.0,127157.0,167929.0,0.0,131170.0,99771.0,26455.0,0.0,571908.0,305479.0,47537.0,12449.0,199069.0,0.0,7374.0,0.0,0.0,26314.0,2904084.0,1808639.0,141318.0,12337.0,919117.0,52903.0,-30230.0,0.0,0.0,0.0
2Q2017,2017,6,Bad,75.6500015258789,58.119998931884766,58.2599983215332,70.11000061035156,29879900.0,68.36119842529297,6008409.0,3649611.0,324363.0,0.0,957102.0,2254560.0,0.0,86415.0,27171.0,0.0,61987.0,0.0,0.0,2469.0,0.0,0.0,0.0,5176.0,0.0,54342.0,0.0,1114876.0,1181935.0,0.0,6008409.0,2193715.0,224889.0,1396475.0,116917.0,240625.0,0.0,87626.0,102739.0,24444.0,0.0,791444.0,513039.0,49965.0,14924.0,204823.0,0.0,8693.0,0.0,0.0,27190.0,2996060.0,1808639.0,144731.0,12290.0,919118.0,141512.0,-30230.0,0.0,0.0,0.0
3Q2017,2017,9,Bad,77.7699966430664,67.51000213623047,70.13999938964844,75.0,19314300.0,69.7405014038086,6309836.0,3843872.0,394563.0,0.0,1005187.0,2338694.0,0.0,83703.0,21725.0,0.0,66082.0,0.0,0.0,2039.0,0.0,0.0,0.0,4660.0,0.0,59383.0,0.0,1212884.0,1186998.0,0.0,6309836.0,2416676.0,251623.0,1558784.0,121243.0,231775.0,0.0,131373.0,103947.0,17931.0,0.0,781109.0,486715.0,52515.0,16834.0,217650.0,0.0,7395.0,0.0,0.0,27623.0,3084428.0,1808639.0,148039.0,12243.0,919118.0,226619.0,-30230.0,0.0,0.0,0.0
4Q2017,2017,12,Bad,92.0,75.0,75.76000213623047,91.80000305175781,21938666.666666668,84.5170186360677,6464249.0,3928204.0,264873.0,0.0,1049074.0,2517594.0,0.0,78778.0,17885.0,0.0,68753.0,0.0,0.0,1622.0,0.0,0.0,0.0,4941.0,0.0,62190.0,0.0,1276276.0,1191016.0,0.0,6464249.0,2493779.0,202799.0,1815687.0,130432.0,196248.0,0.0,37474.0,99347.0,11792.0,0.0,720098.0,414711.0,47515.0,20988.0,228715.0,0.0,8169.0,0.0,0.0,27859.0,3222513.0,1808639.0,151156.0,0.0,1280751.0,0.0,-18033.0,0.0,0.0,0.0
1Q2018,2018,3,Bad,92.27999877929688,72.80000305175781,91.80000305175781,74.80000305175781,21596033.333333332,79.73872375488281,6496808.0,3931798.0,102675.0,0.0,1100997.0,2627074.0,0.0,68598.0,32454.0,0.0,67747.0,0.0,0.0,1284.0,0.0,0.0,0.0,2718.0,0.0,63745.0,0.0,1306937.0,1190326.0,0.0,6496808.0,2575363.0,205256.0,1832996.0,98994.0,186160.0,0.0,133933.0,97648.0,20376.0,0.0,697053.0,387345.0,48863.0,11285.0,243587.0,0.0,5973.0,0.0,0.0,28193.0,3196199.0,1808639.0,107490.0,0.0,1228149.0,69998.0,-18077.0,0.0,0.0,0.0
2Q2018,2018,6,Bad,75.77999877929688,59.5,75.0,66.4000015258789,33873166.666666664,64.92625554402669,6759816.0,4125731.0,281255.0,0.0,1101622.0,2640799.0,0.0,66875.0,35180.0,0.0,72124.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,2225.0,0.0,0.0,1368359.0,1193602.0,0.0,6759816.0,2438100.0,254223.0,1670111.0,83199.0,227243.0,0.0,89932.0,98097.0,15295.0,0.0,1007056.0,684376.0,0.0,61069.0,255521.0,0.0,6090.0,0.0,0.0,29391.0,3285269.0,1808639.0,110346.0,0.0,1228149.0,156256.0,-18121.0,0.0,0.0,0.0
